등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566369,로봇 유니버스,조용조,지식과감성,2026,사회자연과학자료실(2층),559.962 조64ㄹ
E566370,먹는 기쁨에 대하여,한은형,인플루엔셜,2026,인문과학자료실(3층),818 한67ㅁ
E566371,명상하는 마음,이치훈,웅진지식하우스,2026,인문과학자료실(3층),818 이86ㅁ
E566372,모두의 도서관,강은주,여행자의 책,2026,인문과학자료실(3층),027 모25
E566373,모든 날들이 행복했으면 좋겠어,갱여운,하이스트,2026,커뮤니티라운지(1층-인기도서),818 갱64ㅁ
E566374,무례한 세상에서 나를 지키는 법,"Gracián y Morales, Baltasar",논픽션,2026,커뮤니티라운지(1층-인기도서),199.1 G731aKㅎ
E566375,(나도 모르게 나를 망치고 성장시키는) 문제적 사랑,김지용,디플롯,2026,인문과학자료실(3층),182.2 김78ㅁ
E566376,미국은 왜 전쟁을 멈추지 못하는가,"Hartung, William D",부티,2026,커뮤니티라운지(1층-인기도서),391.5 H336tKㅂ
E566377,(미루는 사람을 위한) 실행의 기술,외산미수,RHK,2026,사회자연과학자료실(2층),325.211 외52ㅅKㅈ
E566378,미적분 직관하기,박원균,H(휴머니스트 출판그룹),2025-2026,사회자연과학자료실(2층),414 박66ㅁ v.1
E566379,미적분 직관하기,박원균,H(휴머니스트 출판그룹),2025-2026,사회자연과학자료실(2층),414 박66ㅁ v.2
E566380,바다를 엿보다,伊良刹那,모요사,2026,인문과학자료실(3층),833.6 이293ㅎKㅎ
E566381,바이러스의 시간,주철현,서울뿌리와이파리,2021,사회자연과학자료실(2층),475.54 주83ㅂ
E566382,박태웅의 AI 강의,박태웅,한빛비즈,2026,커뮤니티라운지(1층-인기도서),331.5412 박883ㅂ 2026
E566383,반도체 전공정 실습,김주현,복두출판사,2026,사회자연과학자료실(2층),569.4 김76ㅂ
E566384,붉어지는 얼굴,신현이,작은코도마뱀,2026,인문과학자료실(3층),813.7 신94ㅂ
E566385,비교 해방,기시미 이치로,와이즈베리,2026,인문과학자료실(3층),189.1 안13ㅂKㄱ
E566386,사랑이 있으니 살아집디다,유시민,은빛,2026,커뮤니티라운지(1층-인기도서),818 유58ㅅ
E566387,산촌의 미래,박광국,박영사,2026,사회자연과학자료실(2층),520.7 박14ㅅ
E566388,살아온 날들이 당신 편이에요,하승완,부크럼,2026,인문과학자료실(3층),818 하57ㅅ
E566389,"삶에 사랑이 없다면, 그 무엇이 의미 있으랴",이근오,모티브,2025,인문과학자료실(3층),181.71 이16ㅅ
E566390,새로 쓰는 농업과 농업교육,김환식,바른북스,2026,사회자연과학자료실(2층),520.7 김95ㅅ
E566391,서양 국제정치사상,박성우,아카넷,2026,사회자연과학자료실(2층),349 박54ㅅ
E566392,서점 괴담,岡崎隼人,팩토리나인,2026,인문과학자료실(3층),833.6 강17ㅅKㅁ
E566393,수상할 만큼 완벽한 결혼식,이소연,돌고래,2026,사회자연과학자료실(2층),332.22 이55ㅅ
E566394,숨은민국,김미영,세이지,2026,커뮤니티라운지(1층-인기도서),340.2 김38ㅅ
E566395,숲으로 출근합니다,황금비,한겨레출판,2026,사회자연과학자료실(2층),480.4 황16ㅅ
E566396,(쉽게 풀어낸) 소방관계법규,이영삼,동화기술,2026,사회자연과학자료실(2층),539.99023 이64ㅅ
E566397,스트레스는 어떻게 나를 바꾸는가,하지현,어크로스,2026,커뮤니티라운지(1층-인기도서),182.35 하78ㅅ
E566398,슬픈 살인,"Rosen, Jonathan",문학동네,2026,사회자연과학자료실(2층),513.897 R813bKㅂ
E566399,슬픈 호랑이,이세욱,열린책들,2026,커뮤니티라운지(1층-인기도서),863 S617tKㅇ
E566400,시간관리국,"Bradley, Kaliane",김영사,2026,커뮤니티라운지(1층-인기도서),843.6 B811mKㅈ
E566401,식물의 시간은 천천히 흐른다,이일하,초봄책방,2026,사회자연과학자료실(2층),480 이68ㅅ
E566402,신경 쓰이는 사람,김화진,북다,2026,인문과학자료실(3층),813.7 신13
E566403,(신의 직장은 아니지만) 공기업은 가고 싶어,박대호,북오션,2022,사회자연과학자료실(2층),325.337 박22ㄱ
E566404,쓰다보니 문득 당신이 와 있는 것 같아서,송정림,달,2026,인문과학자료실(3층),818 송74ㅆ
E566405,(쓱하고 싹 배우는) 캔바,안은진,Youngjin.com(영진닷컴),2026,인문과학자료실(3층),005.565 안67ㅋ
E566406,아버지 없는 세상의 아들들,고혜경,한겨레출판,2026,인문과학자료실(3층),219.21 고94ㅇ
