등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566552,(KcLep에 프로그램에 의한)전산회계 1급,박용범,(주)도서출판한솔,2026,사회자연과학자료실(2층),325.9027 박65ㅈ v.1
E566553,(KcLep에 프로그램에 의한)전산회계 1급,박용범,(주)도서출판한솔,2026,사회자연과학자료실(2층),325.9027 박65ㅈ v.2
E566554,제미나이 주식투자,조성호,길벗,2026,커뮤니티라운지(1층-인기도서),327.856 조54ㅈ
E566555,존엄하고 초라한,강미현,흠영,2026,사회자연과학자료실(2층),334 강38ㅈ
E566556,죽었다기보다 잊혀졌어요,"Laurencin, Marie",수오서재,2026,사회자연과학자료실(2층),653.26 L379mKㅇ
E566557,(지성과 감성의) 경영학원론,정재엽,학지사비즈,2026,사회자연과학자료실(2층),325.01 정73ㄱ
E566558,(컨설턴트를 위한) AI 툴 실전 매뉴얼,양인준,청람,2026,인문과학자료실(3층),004.73 양68a
E566559,코다,五十嵐大,타래,2025,인문과학자료실(3층),838 오58ㄴKㅅ
E566560,콘텐츠 설계자,"Cole, Nicolas",윌북,2026,사회자연과학자료실(2층),325.555 C689aKㅇ
E566561,크리스티안 페촐트,"Petzold, Christian",마음산책,2025,사회자연과학자료실(2층),688.028 P513cKㅇ
E566562,파이어드,한정수,체인지업(체인지업북스),2025,사회자연과학자료실(2층),327.04 한74ㅍ
E566563,한글이 된 친구들,이호백,재미마주,2026,인문과학자료실(3층),710 이95ㅎ2
E566564,한나 아렌트,"Meyer, Thomas",현암사,2026,사회자연과학자료실(2층),340.99 M613hKㅎ
E566565,한나 아렌트 철학 전기,"Young-Bruehl, Elisabeth",신서원,2022,사회자연과학자료실(2층),340.99 Y78hKㅎ
E566566,한영 육아 번역기,임현주,한겨레,2026,인문과학자료실(3층),818 임94ㅎ
E566567,행동이 실력이다,함서경,다산북스,2026,사회자연과학자료실(2층),325.211 함54ㅎ
E566568,형태 없는 불안,"Harvey, Samantha",서해문집,2026,인문과학자료실(3층),848 H342sKㅅ
E566569,화이트 멀버리,"Easton, Rosa Kwon",서삼독,2026,커뮤니티라운지(1층-인기도서),843 E13wKㄱ
E566570,환경수리학,서일원,교문사,2026,사회자연과학자료실(2층),537 환13
E566571,후킹,김운기,토네이도,2026,인문과학자료실(3층),802 김66ㅎ
